"publication_id","title","url","abstract","categories","author_name","date"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","m. vogel","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","r. c. thompson","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","w. noertershaeuser","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","d. m. segal","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","d. f. a. winters","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","m. vogel","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","r. c. thompson","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","w. noertershaeuser","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","d. m. segal","2007-04-04"
541,"laser spectroscopy of hyperfine structure in highly-charged ions: a test of qed at high fields","http://arxiv.org/abs/0704.0560","an overview is presented of laser spectroscopy experiments with cold, trapped, highly-charged ions, which will be performed at the hitrap facility at gsi in darmstadt (germany). these high-resolution measurements of ground state hyperfine splittings will be three orders of magnitude more precise than previous measurements. moreover, from a comparison of measurements of the hyperfine splittings in hydrogen- and lithium-like ions of the same isotope, qed effects at high electromagnetic fields can be determined within a few percent. several candidate ions suited for these laser spectroscopy studies are presented.","physics","d. f. a. winters","2007-04-04"
568,"a new approach to mutual information","http://arxiv.org/abs/0704.0588","a new expression as a certain asymptotic limit via ""discrete micro-states"" of permutations is provided to the mutual information of both continuous and discrete random variables.","mathematics","f. hiai","2007-04-04"
568,"a new approach to mutual information","http://arxiv.org/abs/0704.0588","a new expression as a certain asymptotic limit via ""discrete micro-states"" of permutations is provided to the mutual information of both continuous and discrete random variables.","mathematics","d. petz","2007-04-04"
568,"a new approach to mutual information","http://arxiv.org/abs/0704.0588","a new expression as a certain asymptotic limit via ""discrete micro-states"" of permutations is provided to the mutual information of both continuous and discrete random variables.","mathematics","f. hiai","2007-04-04"
568,"a new approach to mutual information","http://arxiv.org/abs/0704.0588","a new expression as a certain asymptotic limit via ""discrete micro-states"" of permutations is provided to the mutual information of both continuous and discrete random variables.","mathematics","d. petz","2007-04-04"
580,"alternative large nc schemes and chiral dynamics","http://arxiv.org/abs/0704.0602","we compare the dependences on the number of colors of the leading pion pion scattering amplitudes using the single index quark field and two index quark fields. these are seen to have different relationships to the scattering amplitudes suggested by chiral dynamics which can explain the long puzzling pion pion s wave scattering up to about 1 gev. this may be interesting for getting a better understanding of the large nc approach as well as for application to recently proposed technicolor models.","physics","joseph schechter","2007-04-04"
580,"alternative large nc schemes and chiral dynamics","http://arxiv.org/abs/0704.0602","we compare the dependences on the number of colors of the leading pion pion scattering amplitudes using the single index quark field and two index quark fields. these are seen to have different relationships to the scattering amplitudes suggested by chiral dynamics which can explain the long puzzling pion pion s wave scattering up to about 1 gev. this may be interesting for getting a better understanding of the large nc approach as well as for application to recently proposed technicolor models.","physics","francesco sannino","2007-04-04"
649,"finite branch solutions to painleve vi around a fixed singular point","http://arxiv.org/abs/0704.0679","every finite branch solutions to the sixth painleve equation around a fixed singular point is an algebraic branch solution. in particular a global solution is an algebraic solution if and only if it is finitely many-valued globally. the proof of this result relies on algebraic geometry of painleve vi, riemann-hilbert correspondence, geometry and dynamics on cubic surfaces, resolutions of kleinian singularities, and power geometry of algebraic differential equations. in the course of the proof we are also able to classify all finite branch solutions up to backlund transformations.","mathematics","katsunori iwasaki","2007-04-05"
649,"finite branch solutions to painleve vi around a fixed singular point","http://arxiv.org/abs/0704.0679","every finite branch solutions to the sixth painleve equation around a fixed singular point is an algebraic branch solution. in particular a global solution is an algebraic solution if and only if it is finitely many-valued globally. the proof of this result relies on algebraic geometry of painleve vi, riemann-hilbert correspondence, geometry and dynamics on cubic surfaces, resolutions of kleinian singularities, and power geometry of algebraic differential equations. in the course of the proof we are also able to classify all finite branch solutions up to backlund transformations.","mathematics","katsunori iwasaki","2007-04-05"
667,"thermal decomposition of norbornane (bicyclo[2.2.1]heptane) dissolved in benzene. experimental study and mechanism investigation","http://arxiv.org/abs/0704.0699","the thermal decomposition of norbornane (dissolved in benzene) has been studied in a jet stirred reactor at temperatures between 873 and 973 k, at residence times ranging from 1 to 4 s and at atmospheric pressure, leading to conversions from 0.04 to 22.6%. 25 reaction products were identified and quantified by gas chromatography, amongst which the main ones are hydrogen, ethylene and 1,3-cyclopentadiene. a mechanism investigation of the thermal decomposition of the norbornane - benzene binary mixture has been performed. reactions involved in the mechanism have been reviewed: unimolecular initiations 1 by c-c bond scission of norbornane, fate of the generated diradicals, reactions of transfer and propagation of norbornyl radicals, reactions of benzene and cross-coupling reactions.","physics","olivier herbinet","2007-04-05"
667,"thermal decomposition of norbornane (bicyclo[2.2.1]heptane) dissolved in benzene. experimental study and mechanism investigation","http://arxiv.org/abs/0704.0699","the thermal decomposition of norbornane (dissolved in benzene) has been studied in a jet stirred reactor at temperatures between 873 and 973 k, at residence times ranging from 1 to 4 s and at atmospheric pressure, leading to conversions from 0.04 to 22.6%. 25 reaction products were identified and quantified by gas chromatography, amongst which the main ones are hydrogen, ethylene and 1,3-cyclopentadiene. a mechanism investigation of the thermal decomposition of the norbornane - benzene binary mixture has been performed. reactions involved in the mechanism have been reviewed: unimolecular initiations 1 by c-c bond scission of norbornane, fate of the generated diradicals, reactions of transfer and propagation of norbornyl radicals, reactions of benzene and cross-coupling reactions.","physics","baptiste sirjean","2007-04-05"
667,"thermal decomposition of norbornane (bicyclo[2.2.1]heptane) dissolved in benzene. experimental study and mechanism investigation","http://arxiv.org/abs/0704.0699","the thermal decomposition of norbornane (dissolved in benzene) has been studied in a jet stirred reactor at temperatures between 873 and 973 k, at residence times ranging from 1 to 4 s and at atmospheric pressure, leading to conversions from 0.04 to 22.6%. 25 reaction products were identified and quantified by gas chromatography, amongst which the main ones are hydrogen, ethylene and 1,3-cyclopentadiene. a mechanism investigation of the thermal decomposition of the norbornane - benzene binary mixture has been performed. reactions involved in the mechanism have been reviewed: unimolecular initiations 1 by c-c bond scission of norbornane, fate of the generated diradicals, reactions of transfer and propagation of norbornyl radicals, reactions of benzene and cross-coupling reactions.","physics","paul-marie marquaire","2007-04-05"
680,"maximum solutions of normalized ricci flows on 4-manifolds","http://arxiv.org/abs/0704.0714","we consider maximum solution $g(t)$, $t\in [0, +\infty)$, to the normalized ricci flow. among other things, we prove that, if $(m, \omega) $ is a smooth compact symplectic 4-manifold such that $b_2^+(m)>1$ and let $g(t),t\in[0,\infty)$, be a solution to (1.3) on $m$ whose ricci curvature satisfies that $|\text{ric}(g(t))|\leq 3$ and additionally $\chi(m)=3 \tau (m)>0$, then there exists an $m\in \mathbb{n}$, and a sequence of points $\{x_{j,k}\in m\}$, $j=1, ..., m$, satisfying that, by passing to a subsequence, $$(m, g(t_{k}+t), x_{1,k},..., x_{m,k}) \stackrel{d_{gh}}\longrightarrow (\coprod_{j=1}^m n_j, g_{\infty}, x_{1,\infty}, ...,, x_{m,\infty}),$$ $t\in [0, \infty)$, in the $m$-pointed gromov-hausdorff sense for any sequence $t_{k}\longrightarrow \infty$, where $(n_{j}, g_{\infty})$, $j=1,..., m$, are complete complex hyperbolic orbifolds of complex dimension 2 with at most finitely many isolated orbifold points. moreover, the convergence is $c^{\infty}$ in the non-singular part of $\coprod_1^m n_{j}$ and $\text{vol}_{g_{0}}(m)=\sum_{j=1}^{m}\text{vol}_{g_{\infty}}(n_{j})$, where $\chi(m)$ (resp. $\tau(m)$) is the euler characteristic (resp. signature) of $m$.","mathematics","fuquan fang","2007-04-05"
680,"maximum solutions of normalized ricci flows on 4-manifolds","http://arxiv.org/abs/0704.0714","we consider maximum solution $g(t)$, $t\in [0, +\infty)$, to the normalized ricci flow. among other things, we prove that, if $(m, \omega) $ is a smooth compact symplectic 4-manifold such that $b_2^+(m)>1$ and let $g(t),t\in[0,\infty)$, be a solution to (1.3) on $m$ whose ricci curvature satisfies that $|\text{ric}(g(t))|\leq 3$ and additionally $\chi(m)=3 \tau (m)>0$, then there exists an $m\in \mathbb{n}$, and a sequence of points $\{x_{j,k}\in m\}$, $j=1, ..., m$, satisfying that, by passing to a subsequence, $$(m, g(t_{k}+t), x_{1,k},..., x_{m,k}) \stackrel{d_{gh}}\longrightarrow (\coprod_{j=1}^m n_j, g_{\infty}, x_{1,\infty}, ...,, x_{m,\infty}),$$ $t\in [0, \infty)$, in the $m$-pointed gromov-hausdorff sense for any sequence $t_{k}\longrightarrow \infty$, where $(n_{j}, g_{\infty})$, $j=1,..., m$, are complete complex hyperbolic orbifolds of complex dimension 2 with at most finitely many isolated orbifold points. moreover, the convergence is $c^{\infty}$ in the non-singular part of $\coprod_1^m n_{j}$ and $\text{vol}_{g_{0}}(m)=\sum_{j=1}^{m}\text{vol}_{g_{\infty}}(n_{j})$, where $\chi(m)$ (resp. $\tau(m)$) is the euler characteristic (resp. signature) of $m$.","mathematics","zhenlei zhang","2007-04-05"
680,"maximum solutions of normalized ricci flows on 4-manifolds","http://arxiv.org/abs/0704.0714","we consider maximum solution $g(t)$, $t\in [0, +\infty)$, to the normalized ricci flow. among other things, we prove that, if $(m, \omega) $ is a smooth compact symplectic 4-manifold such that $b_2^+(m)>1$ and let $g(t),t\in[0,\infty)$, be a solution to (1.3) on $m$ whose ricci curvature satisfies that $|\text{ric}(g(t))|\leq 3$ and additionally $\chi(m)=3 \tau (m)>0$, then there exists an $m\in \mathbb{n}$, and a sequence of points $\{x_{j,k}\in m\}$, $j=1, ..., m$, satisfying that, by passing to a subsequence, $$(m, g(t_{k}+t), x_{1,k},..., x_{m,k}) \stackrel{d_{gh}}\longrightarrow (\coprod_{j=1}^m n_j, g_{\infty}, x_{1,\infty}, ...,, x_{m,\infty}),$$ $t\in [0, \infty)$, in the $m$-pointed gromov-hausdorff sense for any sequence $t_{k}\longrightarrow \infty$, where $(n_{j}, g_{\infty})$, $j=1,..., m$, are complete complex hyperbolic orbifolds of complex dimension 2 with at most finitely many isolated orbifold points. moreover, the convergence is $c^{\infty}$ in the non-singular part of $\coprod_1^m n_{j}$ and $\text{vol}_{g_{0}}(m)=\sum_{j=1}^{m}\text{vol}_{g_{\infty}}(n_{j})$, where $\chi(m)$ (resp. $\tau(m)$) is the euler characteristic (resp. signature) of $m$.","mathematics","yuguang zhang","2007-04-05"
680,"maximum solutions of normalized ricci flows on 4-manifolds","http://arxiv.org/abs/0704.0714","we consider maximum solution $g(t)$, $t\in [0, +\infty)$, to the normalized ricci flow. among other things, we prove that, if $(m, \omega) $ is a smooth compact symplectic 4-manifold such that $b_2^+(m)>1$ and let $g(t),t\in[0,\infty)$, be a solution to (1.3) on $m$ whose ricci curvature satisfies that $|\text{ric}(g(t))|\leq 3$ and additionally $\chi(m)=3 \tau (m)>0$, then there exists an $m\in \mathbb{n}$, and a sequence of points $\{x_{j,k}\in m\}$, $j=1, ..., m$, satisfying that, by passing to a subsequence, $$(m, g(t_{k}+t), x_{1,k},..., x_{m,k}) \stackrel{d_{gh}}\longrightarrow (\coprod_{j=1}^m n_j, g_{\infty}, x_{1,\infty}, ...,, x_{m,\infty}),$$ $t\in [0, \infty)$, in the $m$-pointed gromov-hausdorff sense for any sequence $t_{k}\longrightarrow \infty$, where $(n_{j}, g_{\infty})$, $j=1,..., m$, are complete complex hyperbolic orbifolds of complex dimension 2 with at most finitely many isolated orbifold points. moreover, the convergence is $c^{\infty}$ in the non-singular part of $\coprod_1^m n_{j}$ and $\text{vol}_{g_{0}}(m)=\sum_{j=1}^{m}\text{vol}_{g_{\infty}}(n_{j})$, where $\chi(m)$ (resp. $\tau(m)$) is the euler characteristic (resp. signature) of $m$.","mathematics","fuquan fang","2007-04-05"
680,"maximum solutions of normalized ricci flows on 4-manifolds","http://arxiv.org/abs/0704.0714","we consider maximum solution $g(t)$, $t\in [0, +\infty)$, to the normalized ricci flow. among other things, we prove that, if $(m, \omega) $ is a smooth compact symplectic 4-manifold such that $b_2^+(m)>1$ and let $g(t),t\in[0,\infty)$, be a solution to (1.3) on $m$ whose ricci curvature satisfies that $|\text{ric}(g(t))|\leq 3$ and additionally $\chi(m)=3 \tau (m)>0$, then there exists an $m\in \mathbb{n}$, and a sequence of points $\{x_{j,k}\in m\}$, $j=1, ..., m$, satisfying that, by passing to a subsequence, $$(m, g(t_{k}+t), x_{1,k},..., x_{m,k}) \stackrel{d_{gh}}\longrightarrow (\coprod_{j=1}^m n_j, g_{\infty}, x_{1,\infty}, ...,, x_{m,\infty}),$$ $t\in [0, \infty)$, in the $m$-pointed gromov-hausdorff sense for any sequence $t_{k}\longrightarrow \infty$, where $(n_{j}, g_{\infty})$, $j=1,..., m$, are complete complex hyperbolic orbifolds of complex dimension 2 with at most finitely many isolated orbifold points. moreover, the convergence is $c^{\infty}$ in the non-singular part of $\coprod_1^m n_{j}$ and $\text{vol}_{g_{0}}(m)=\sum_{j=1}^{m}\text{vol}_{g_{\infty}}(n_{j})$, where $\chi(m)$ (resp. $\tau(m)$) is the euler characteristic (resp. signature) of $m$.","mathematics","zhenlei zhang","2007-04-05"
680,"maximum solutions of normalized ricci flows on 4-manifolds","http://arxiv.org/abs/0704.0714","we consider maximum solution $g(t)$, $t\in [0, +\infty)$, to the normalized ricci flow. among other things, we prove that, if $(m, \omega) $ is a smooth compact symplectic 4-manifold such that $b_2^+(m)>1$ and let $g(t),t\in[0,\infty)$, be a solution to (1.3) on $m$ whose ricci curvature satisfies that $|\text{ric}(g(t))|\leq 3$ and additionally $\chi(m)=3 \tau (m)>0$, then there exists an $m\in \mathbb{n}$, and a sequence of points $\{x_{j,k}\in m\}$, $j=1, ..., m$, satisfying that, by passing to a subsequence, $$(m, g(t_{k}+t), x_{1,k},..., x_{m,k}) \stackrel{d_{gh}}\longrightarrow (\coprod_{j=1}^m n_j, g_{\infty}, x_{1,\infty}, ...,, x_{m,\infty}),$$ $t\in [0, \infty)$, in the $m$-pointed gromov-hausdorff sense for any sequence $t_{k}\longrightarrow \infty$, where $(n_{j}, g_{\infty})$, $j=1,..., m$, are complete complex hyperbolic orbifolds of complex dimension 2 with at most finitely many isolated orbifold points. moreover, the convergence is $c^{\infty}$ in the non-singular part of $\coprod_1^m n_{j}$ and $\text{vol}_{g_{0}}(m)=\sum_{j=1}^{m}\text{vol}_{g_{\infty}}(n_{j})$, where $\chi(m)$ (resp. $\tau(m)$) is the euler characteristic (resp. signature) of $m$.","mathematics","yuguang zhang","2007-04-05"
684,"flavor composition and energy spectrum of astrophysical neutrinos","http://arxiv.org/abs/0704.0718","the measurement of the flavor composition of the neutrino fluxes from astrophysical sources has been proposed as a method to study not only the nature of their emission mechanisms, but also the neutrino fundamental properties. it is however problematic to reconcile these two goals, since a sufficiently accurate understanding of the neutrino fluxes at the source is needed to extract information about the physics of neutrino propagation. in this work we discuss critically the expectations for the flavor composition and energy spectrum from different types of astrophysical sources, and comment on the theoretical uncertainties connected to our limited knowledge of their structure.","physics","davide meloni","2007-04-05"
684,"flavor composition and energy spectrum of astrophysical neutrinos","http://arxiv.org/abs/0704.0718","the measurement of the flavor composition of the neutrino fluxes from astrophysical sources has been proposed as a method to study not only the nature of their emission mechanisms, but also the neutrino fundamental properties. it is however problematic to reconcile these two goals, since a sufficiently accurate understanding of the neutrino fluxes at the source is needed to extract information about the physics of neutrino propagation. in this work we discuss critically the expectations for the flavor composition and energy spectrum from different types of astrophysical sources, and comment on the theoretical uncertainties connected to our limited knowledge of their structure.","physics","paolo lipari","2007-04-05"
684,"flavor composition and energy spectrum of astrophysical neutrinos","http://arxiv.org/abs/0704.0718","the measurement of the flavor composition of the neutrino fluxes from astrophysical sources has been proposed as a method to study not only the nature of their emission mechanisms, but also the neutrino fundamental properties. it is however problematic to reconcile these two goals, since a sufficiently accurate understanding of the neutrino fluxes at the source is needed to extract information about the physics of neutrino propagation. in this work we discuss critically the expectations for the flavor composition and energy spectrum from different types of astrophysical sources, and comment on the theoretical uncertainties connected to our limited knowledge of their structure.","physics","maurizio lusignoli","2007-04-05"
731,"ground-based microlensing surveys","http://arxiv.org/abs/0704.0767","microlensing is a proven extrasolar planet search method that has already yielded the detection of four exoplanets. these detections have changed our understanding of planet formation ``beyond the snowline'' by demonstrating that neptune-mass planets with separations of several au are common. microlensing is sensitive to planets that are generally inaccessible to other methods, in particular cool planets at or beyond the snowline, very low-mass (i.e. terrestrial) planets, planets orbiting low-mass stars, free-floating planets, and even planets in external galaxies. such planets can provide critical constraints on models of planet formation, and therefore the next generation of extrasolar planet searches should include an aggressive and well-funded microlensing component. when combined with the results from other complementary surveys, next generation microlensing surveys can yield an accurate and complete census of the frequency and properties of planets, and in particular low-mass terrestrial planets.","physics","david p. bennett","2007-04-05"
731,"ground-based microlensing surveys","http://arxiv.org/abs/0704.0767","microlensing is a proven extrasolar planet search method that has already yielded the detection of four exoplanets. these detections have changed our understanding of planet formation ``beyond the snowline'' by demonstrating that neptune-mass planets with separations of several au are common. microlensing is sensitive to planets that are generally inaccessible to other methods, in particular cool planets at or beyond the snowline, very low-mass (i.e. terrestrial) planets, planets orbiting low-mass stars, free-floating planets, and even planets in external galaxies. such planets can provide critical constraints on models of planet formation, and therefore the next generation of extrasolar planet searches should include an aggressive and well-funded microlensing component. when combined with the results from other complementary surveys, next generation microlensing surveys can yield an accurate and complete census of the frequency and properties of planets, and in particular low-mass terrestrial planets.","physics","andrew gould","2007-04-05"
731,"ground-based microlensing surveys","http://arxiv.org/abs/0704.0767","microlensing is a proven extrasolar planet search method that has already yielded the detection of four exoplanets. these detections have changed our understanding of planet formation ``beyond the snowline'' by demonstrating that neptune-mass planets with separations of several au are common. microlensing is sensitive to planets that are generally inaccessible to other methods, in particular cool planets at or beyond the snowline, very low-mass (i.e. terrestrial) planets, planets orbiting low-mass stars, free-floating planets, and even planets in external galaxies. such planets can provide critical constraints on models of planet formation, and therefore the next generation of extrasolar planet searches should include an aggressive and well-funded microlensing component. when combined with the results from other complementary surveys, next generation microlensing surveys can yield an accurate and complete census of the frequency and properties of planets, and in particular low-mass terrestrial planets.","physics","b. scott gaudi","2007-04-05"
782,"coupling of whispering-gallery modes in size-mismatched microdisk photonic molecules","http://arxiv.org/abs/0704.0820","mechanisms of whispering-gallery (wg) modes coupling in microdisk photonic molecules (pms) with slight and significant size mismatch are numerically investigated. the results reveal two different scenarios of modes interaction depending on the degree of this mismatch and offer new insight into how pm parameters can be tuned to control and modify wg-modes wavelengths and q-factors. from a practical point of view, these findings offer a way to fabricate pm microlaser structures that exhibit low thresholds and directional emission, and at the same time are more tolerant to fabrication errors than previously explored coupled-cavity structures composed of identical microresonators.","physics","svetlana v. boriskina","2007-04-05"
